compute005
0
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
(1, 60, 50) 3
Box(1, 60, 50)
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/gym/envs/registration.py:14: PkgResourcesDeprecationWarning: Parameters to load are deprecated.  Call .resolve and .require separately.
  result = entry_point.load(False)
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
Worker ID: 0 | Episode :131 | Average episode reward : 0.000 | Episode length: 2724.0
Worker ID: 0 | Episode :132 | Average episode reward : 0.000 | Episode length: 2733.0
Worker ID: 0 | Episode :133 | Average episode reward : 0.000 | Episode length: 2722.0
Worker ID: 0 | Episode :134 | Average episode reward : 0.000 | Episode length: 2737.0
Worker ID: 0 | Episode :135 | Average episode reward : 0.000 | Episode length: 2717.0
Worker ID: 0 | Episode :136 | Average episode reward : 0.000 | Episode length: 2763.0
Worker ID: 0 | Episode :137 | Average episode reward : 0.000 | Episode length: 2689.0
Worker ID: 0 | Episode :138 | Average episode reward : 0.000 | Episode length: 2729.0
Worker ID: 0 | Episode :139 | Average episode reward : 0.000 | Episode length: 2703.0
Worker ID: 0 | Episode :140 | Average episode reward : 0.000 | Episode length: 2738.0
Worker ID: 0 | Episode :141 | Average episode reward : 0.000 | Episode length: 2704.0
Worker ID: 0 | Episode :142 | Average episode reward : 0.000 | Episode length: 2742.0
Worker ID: 0 | Episode :143 | Average episode reward : 0.000 | Episode length: 2735.0
Worker ID: 0 | Episode :144 | Average episode reward : 0.000 | Episode length: 2733.0
Worker ID: 0 | Episode :145 | Average episode reward : 0.000 | Episode length: 2728.0
Worker ID: 0 | Episode :146 | Average episode reward : 0.000 | Episode length: 2713.0
Worker ID: 0 | Episode :147 | Average episode reward : 0.000 | Episode length: 2710.0
Worker ID: 0 | Episode :148 | Average episode reward : 0.000 | Episode length: 2717.0
Worker ID: 0 | Episode :149 | Average episode reward : 0.000 | Episode length: 2728.0
Worker ID: 0 | Episode :150 | Average episode reward : 0.000 | Episode length: 2756.0
Worker ID: 0 | Episode :151 | Average episode reward : 0.000 | Episode length: 2724.0
Worker ID: 0 | Episode :152 | Average episode reward : 0.000 | Episode length: 2748.0
Worker ID: 0 | Episode :153 | Average episode reward : 0.000 | Episode length: 2757.0
Worker ID: 0 | Episode :154 | Average episode reward : 0.000 | Episode length: 2731.0
Worker ID: 0 | Episode :155 | Average episode reward : 0.000 | Episode length: 2702.0
Worker ID: 0 | Episode :156 | Average episode reward : 0.000 | Episode length: 2720.0
Worker ID: 0 | Episode :157 | Average episode reward : 0.000 | Episode length: 2732.0
Worker ID: 0 | Episode :158 | Average episode reward : 0.000 | Episode length: 2745.0
