compute005
0
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:541: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint8 = np.dtype([("qint8", np.int8, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:542: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint8 = np.dtype([("quint8", np.uint8, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:543: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint16 = np.dtype([("qint16", np.int16, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:544: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint16 = np.dtype([("quint16", np.uint16, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:545: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint32 = np.dtype([("qint32", np.int32, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:550: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  np_resource = np.dtype([("resource", np.ubyte, 1)])
Epoch: 04 | Batch: 100 | CrossEntropy-loss: 0.38611 | Correct: 1081/1280 | Difference: 0.7297315136351803
Epoch: 04 | Batch: 200 | CrossEntropy-loss: 0.41142 | Correct: 1056/1280 | Difference: 0.7285052227452837
Epoch: 04 | Batch: 300 | CrossEntropy-loss: 0.40596 | Correct: 1061/1280 | Difference: 0.7283381392199013
Epoch: 04 | Batch: 400 | CrossEntropy-loss: 0.43629 | Correct: 1029/1280 | Difference: 0.7288655877824923
Epoch: 04 | Batch: 500 | CrossEntropy-loss: 0.40449 | Correct: 1066/1280 | Difference: 0.7313585842028655
Epoch: 04 | Batch: 600 | CrossEntropy-loss: 0.40849 | Correct: 1056/1280 | Difference: 0.7326312412096074
Epoch: 04 | Batch: 700 | CrossEntropy-loss: 0.36788 | Correct: 1087/1280 | Difference: 0.7330795427715612
Epoch: 04 | Batch: 800 | CrossEntropy-loss: 0.36913 | Correct: 1082/1280 | Difference: 0.7342019087126332
Epoch: 04 | Batch: 900 | CrossEntropy-loss: 0.37297 | Correct: 1076/1280 | Difference: 0.7350911595278184
Epoch: 04 | Batch: 1000 | CrossEntropy-loss: 0.37825 | Correct: 1087/1280 | Difference: 0.7348038020870218
Epoch: 04 | Batch: 1100 | CrossEntropy-loss: 0.35450 | Correct: 1093/1280 | Difference: 0.7339782036190993
Epoch: 04 | Batch: 1200 | CrossEntropy-loss: 0.36706 | Correct: 1089/1280 | Difference: 0.7352405229899025
Epoch: 04 | Batch: 1300 | CrossEntropy-loss: 0.38707 | Correct: 1073/1280 | Difference: 0.7361196608882735
Epoch: 04 | Batch: 1400 | CrossEntropy-loss: 0.36817 | Correct: 1089/1280 | Difference: 0.7360315513623488
Epoch: 04 | Batch: 1500 | CrossEntropy-loss: 0.36544 | Correct: 1081/1280 | Difference: 0.7364613517604778

Epoch: 04 | Testing Accuracy: 428374/504607 (84.893%) | Historical Best: 84.893% 

Epoch: 05 | Batch: 000 | CrossEntropy-loss: 0.37936 | Correct: 1068/1280 | Difference: 0.7369292321995903
Epoch: 05 | Batch: 100 | CrossEntropy-loss: 0.35219 | Correct: 1095/1280 | Difference: 0.7358613649614878
Epoch: 05 | Batch: 200 | CrossEntropy-loss: 0.35171 | Correct: 1090/1280 | Difference: 0.7344413599643447
Epoch: 05 | Batch: 300 | CrossEntropy-loss: 0.37546 | Correct: 1063/1280 | Difference: 0.7332554530277965
Epoch: 05 | Batch: 400 | CrossEntropy-loss: 0.36054 | Correct: 1079/1280 | Difference: 0.7323635236308244
Epoch: 05 | Batch: 500 | CrossEntropy-loss: 0.34264 | Correct: 1084/1280 | Difference: 0.7314914444640904
Epoch: 05 | Batch: 600 | CrossEntropy-loss: 0.36992 | Correct: 1077/1280 | Difference: 0.7311257866284187
Epoch: 05 | Batch: 700 | CrossEntropy-loss: 0.39321 | Correct: 1063/1280 | Difference: 0.7304186063470794
Epoch: 05 | Batch: 800 | CrossEntropy-loss: 0.34295 | Correct: 1099/1280 | Difference: 0.7297690362332955
Epoch: 05 | Batch: 900 | CrossEntropy-loss: 0.34386 | Correct: 1099/1280 | Difference: 0.7288032549888668
Epoch: 05 | Batch: 1000 | CrossEntropy-loss: 0.34334 | Correct: 1086/1280 | Difference: 0.7274075175619843
Epoch: 05 | Batch: 1100 | CrossEntropy-loss: 0.34406 | Correct: 1088/1280 | Difference: 0.7263221255536683
Epoch: 05 | Batch: 1200 | CrossEntropy-loss: 0.34895 | Correct: 1105/1280 | Difference: 0.7259943166854897
Epoch: 05 | Batch: 1300 | CrossEntropy-loss: 0.33381 | Correct: 1092/1280 | Difference: 0.724397417921178
Epoch: 05 | Batch: 1400 | CrossEntropy-loss: 0.31822 | Correct: 1112/1280 | Difference: 0.723217510261299
Epoch: 05 | Batch: 1500 | CrossEntropy-loss: 0.33785 | Correct: 1095/1280 | Difference: 0.722327640675322

Epoch: 05 | Testing Accuracy: 437421/504607 (86.685%) | Historical Best: 86.685% 

Epoch: 06 | Batch: 000 | CrossEntropy-loss: 0.34436 | Correct: 1103/1280 | Difference: 0.7204633951286312
Epoch: 06 | Batch: 100 | CrossEntropy-loss: 0.33286 | Correct: 1119/1280 | Difference: 0.7188166759397498
Epoch: 06 | Batch: 200 | CrossEntropy-loss: 0.33200 | Correct: 1119/1280 | Difference: 0.7180922512188712
Epoch: 06 | Batch: 300 | CrossEntropy-loss: 0.31324 | Correct: 1119/1280 | Difference: 0.7171750779382672
Epoch: 06 | Batch: 400 | CrossEntropy-loss: 0.29748 | Correct: 1117/1280 | Difference: 0.7160291161757137
Epoch: 06 | Batch: 500 | CrossEntropy-loss: 0.33539 | Correct: 1098/1280 | Difference: 0.7138944601564781
Epoch: 06 | Batch: 600 | CrossEntropy-loss: 0.31020 | Correct: 1117/1280 | Difference: 0.7125921601387263
Epoch: 06 | Batch: 700 | CrossEntropy-loss: 0.31505 | Correct: 1114/1280 | Difference: 0.7106992173447015
Epoch: 06 | Batch: 800 | CrossEntropy-loss: 0.33470 | Correct: 1104/1280 | Difference: 0.7094786325961664
Epoch: 06 | Batch: 900 | CrossEntropy-loss: 0.31645 | Correct: 1126/1280 | Difference: 0.7077809442187566
Epoch: 06 | Batch: 1000 | CrossEntropy-loss: 0.29877 | Correct: 1131/1280 | Difference: 0.7060902253706384
Epoch: 06 | Batch: 1100 | CrossEntropy-loss: 0.31840 | Correct: 1117/1280 | Difference: 0.704310067388641
Epoch: 06 | Batch: 1200 | CrossEntropy-loss: 0.32225 | Correct: 1117/1280 | Difference: 0.7019722093177779
Epoch: 06 | Batch: 1300 | CrossEntropy-loss: 0.28901 | Correct: 1131/1280 | Difference: 0.7006417065112582
Epoch: 06 | Batch: 1400 | CrossEntropy-loss: 0.32697 | Correct: 1113/1280 | Difference: 0.6987700642015054
Epoch: 06 | Batch: 1500 | CrossEntropy-loss: 0.30813 | Correct: 1110/1280 | Difference: 0.6964336615806871

Epoch: 06 | Testing Accuracy: 443582/504607 (87.906%) | Historical Best: 87.906% 

Epoch: 07 | Batch: 000 | CrossEntropy-loss: 0.29854 | Correct: 1124/1280 | Difference: 0.6942462764746015
Epoch: 07 | Batch: 100 | CrossEntropy-loss: 0.30949 | Correct: 1105/1280 | Difference: 0.6921174876281017
