compute002
0
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:541: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint8 = np.dtype([("qint8", np.int8, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:542: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint8 = np.dtype([("quint8", np.uint8, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:543: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint16 = np.dtype([("qint16", np.int16, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:544: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint16 = np.dtype([("quint16", np.uint16, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:545: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint32 = np.dtype([("qint32", np.int32, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:550: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  np_resource = np.dtype([("resource", np.ubyte, 1)])
Epoch: 03 | Batch: 500 | CrossEntropy-loss: 0.35980 | Correct: 975/1280
Epoch: 03 | Batch: 600 | CrossEntropy-loss: 0.34396 | Correct: 971/1280
Epoch: 03 | Batch: 700 | CrossEntropy-loss: 0.37156 | Correct: 968/1280
Epoch: 03 | Batch: 800 | CrossEntropy-loss: 0.35870 | Correct: 975/1280
Epoch: 03 | Batch: 900 | CrossEntropy-loss: 0.35226 | Correct: 963/1280
Epoch: 03 | Batch: 1000 | CrossEntropy-loss: 0.34386 | Correct: 985/1280
Epoch: 03 | Batch: 1100 | CrossEntropy-loss: 0.36912 | Correct: 976/1280
Epoch: 03 | Batch: 1200 | CrossEntropy-loss: 0.33142 | Correct: 972/1280
Epoch: 03 | Batch: 1300 | CrossEntropy-loss: 0.33861 | Correct: 998/1280
Epoch: 03 | Batch: 1400 | CrossEntropy-loss: 0.35485 | Correct: 953/1280
Epoch: 03 | Batch: 1500 | CrossEntropy-loss: 0.34340 | Correct: 981/1280
Epoch: 03 | Batch: 1600 | CrossEntropy-loss: 0.35189 | Correct: 969/1280
Epoch: 03 | Batch: 1700 | CrossEntropy-loss: 0.33503 | Correct: 998/1280
Epoch: 03 | Batch: 1800 | CrossEntropy-loss: 0.35024 | Correct: 986/1280
Epoch: 03 | Batch: 1900 | CrossEntropy-loss: 0.34576 | Correct: 972/1280
Epoch: 03 | Batch: 2000 | CrossEntropy-loss: 0.35198 | Correct: 968/1280
Epoch: 03 | Batch: 2100 | CrossEntropy-loss: 0.33175 | Correct: 1000/1280
Epoch: 03 | Batch: 2200 | CrossEntropy-loss: 0.34531 | Correct: 984/1280
Epoch: 03 | Batch: 2300 | CrossEntropy-loss: 0.32468 | Correct: 998/1280
Epoch: 03 | Batch: 2400 | CrossEntropy-loss: 0.35635 | Correct: 994/1280
